ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_ID,Map_Name
282,Pinome,,,,,traditional,haynie2019modern,features,Fig. 1
283,Pipil,,,,pipi1250,traditional,haynie2019modern,features,Fig. 1
284,Piro,,,,piro1248,traditional,haynie2019modern,features,Fig. 1
285,Plains Cree,,,,plai1258,traditional,haynie2019modern,features,Fig. 1
286,Plains Miwok,,,,plai1259,traditional,haynie2019modern,features,Fig. 1
287,Pochutec,,,,poch1244,traditional,haynie2019modern,features,Fig. 1
288,Poqom,,,,poco1241,traditional,haynie2019modern,features,Fig. 1
289,Potawatomi,,,,pota1247,traditional,haynie2019modern,features,Fig. 1
290,Powhatan,,,,powh1243,traditional,haynie2019modern,features,Fig. 1
291,Purepecha,,,,pure1242,traditional,haynie2019modern,features,Fig. 1
292,Purismeño,,,,puri1259,traditional,haynie2019modern,features,Fig. 1
293,Q'anjob'al,,,,qanj1241,traditional,haynie2019modern,features,Fig. 1
294,Quapaw,,,,quap1242,traditional,haynie2019modern,features,Fig. 1
295,Quechan,,,,quec1382,traditional,haynie2019modern,features,Fig. 1
296,Querétaro Otomi,,,,quer1236,traditional,haynie2019modern,features,Fig. 1
297,Quileute,,,,quil1240,traditional,haynie2019modern,features,Fig. 1
298,Quinault,,,,quin1251,traditional,haynie2019modern,features,Fig. 1
299,Quinigua,,,,quin1252,traditional,haynie2019modern,features,Fig. 1
300,Quiripi,,,,wamp1250,traditional,haynie2019modern,features,Fig. 1
301,Rama,,,,rama1270,traditional,haynie2019modern,features,Fig. 1
302,Rio Grande Tewa,,,,tewa1260,traditional,haynie2019modern,features,Fig. 1
303,Rogue River Athabaskan,,,,tolo1259,traditional,haynie2019modern,features,Fig. 1
304,Sahaptin-Walla Walla,,,,wall1238,traditional,haynie2019modern,features,Fig. 1
305,Salinan,,,,sali1253,traditional,haynie2019modern,features,Fig. 1
306,Salteaux,,,,west1510,traditional,haynie2019modern,features,Fig. 1
307,San Francisco Matlatzinca,,,,sanf1262,traditional,haynie2019modern,features,Fig. 1
